Country,Activemilitary,Reservemilitary,Paramilitary,Total,Per1000CapitaTotal,Per1000CapitaActive
Turkmenistan,36500,0,5000,41500,7.7,6.7
Uganda,45000,10000,1400,56400,1.4,1.1
Ukraine,209000,900000,102000,1211000,27.6,4.8
United Arab Emirates,63000,0,0,63000,6.5,6.5
United Kingdom,196453,78600,0,275053,4.2,3
United States of America,1328000,744950,0,2072950,6.3,4
Uruguay,21000,0,1400,22400,6.6,6.2
Uzbekistan,48000,0,20000,68000,2.3,1.6
Venezuela,123000,8000,220000,351000,11.1,3.9
Vietnam,482000,5000000,40000,5522000,56.9,5
Yemen,40000,0,0,40000,1.4,1.4
Zambia,15100,3000,1400,19500,1.2,0.9
Zimbabwe,29000,0,21800,50800,3.6,2.1
